progression_rule_id,name_tr,applies_to,load_or_rep_logic,failure_logic,deload_logic,accessory_logic
linear_beginner,Başlangıç lineer ilerleme,"strength,general_fitness","Tüm setler hedef tekrarlarla ve hedef RIR aralığında tamamlanırsa sonraki seansta üst vücut hareketlerine %1-2.5, alt vücut hareketlerine %2.5-5 yük ekle.",Bir seans kaçırılırsa aynı yükü tekrar et. Aynı yük iki ardışık maruziyette tamamlanamazsa %7.5-10 azalt ve yeniden ilerle.,"Takvim bazlı zorunlu deload yok. Performans düşüşü, yüksek yorgunluk ve iki ardışık başarısızlık birlikte görülürse 1 hafif hafta.","Önce tekrar aralığının üst sınırına ulaş, sonra küçük yük artışı yap."
double_progression,Çift ilerleme,"hypertrophy,general_fitness,powerbuilding",Aynı yükle tüm setlerde tekrar aralığının üst sınırına ve hedef RIR'a ulaşıldığında %2-5 yük artır.,Alt tekrar sınırı korunamıyorsa yükü %5-10 azalt veya bir set eksilt.,4-8 haftalık performans trendine göre; sabit takvim yerine yorgunluk ve performans sinyalleri kullan.,İzolasyonlarda önce tekrar ekle; küçük plaka artışları mümkün değilse tempo ve kontrollü formu koru.
top_set_backoff,Üst set + back-off,"strength,powerbuilding",Ana kaldırışta hedef RPE/RIR ile bir üst set; ardından yükü %7-12 azaltarak back-off setleri. Üst set hedefin altında kalırsa sonraki hafta küçük artış.,Hedef RPE aşılırsa back-off yükünü azalt ve sonraki maruziyette aynı üst set yükünü tekrar et.,"3-6 haftalık yüklenme sonrası trend düşüşü varsa hacmi %30-50, yoğunluğu %5-10 azalt.",Aksesuarlar çift ilerleme kullanır.
undulating_strength,Dalgalı güç ilerlemesi,strength,"Hafta içinde ağır, orta ve teknik günler. Ağır gün yükü performansa göre küçük artar; teknik günlerde hız ve form korunur.",Ağır gün iki hafta üst üste hedefin üzerinde RPE üretirse yük %5 azaltılır.,4-6 haftada bir yalnızca ihtiyaç varsa hacim azaltılır.,"Aksesuarlar ana lift performansını destekler, tükenişe götürülmez."
powerbuilding_hybrid,Powerbuilding hibrit ilerleme,powerbuilding,Ana liftler top-set/back-off veya lineer; hipertrofi aksesuarları çift ilerleme.,"Ana lift başarısızlığı aksesuar hacmini otomatik artırmaz. Önce teknik, uyku ve yorgunluk kontrol edilir.",Ana lift ve aksesuar performansı birlikte düşerse 1 hafif hafta.,Aksesuarlar 1-3 RIR aralığında; haftalık toplam hacim guardrail içinde tutulur.
bodyweight_rep_leverage,Vücut ağırlığı tekrar/kaldıraç ilerlemesi,"strength,hypertrophy,powerbuilding,general_fitness,home","Önce tekrar artır; üst sınıra ulaşıldığında daha zor kaldıraç, tempo, duraklama veya harici yük ekle.",Form bozuluyorsa daha kolay varyasyona dön.,Gerekirse toplam setleri bir hafta %30 azalt.,Hareket kalitesi ve tam eklem açıklığı önceliklidir.
rep_range_accessory,Aksesuar tekrar aralığı,"strength,hypertrophy,powerbuilding,general_fitness",Önce hedef tekrar aralığında kaliteyi tamamla; üst banda ulaşınca küçük yük artışı veya aynı yükte tekrar kalitesi korunur.,Alt banda düşerse aynı hedef tekrar edilir; tekrarlı düşüşte yük veya set sayısı küçük azaltılır.,Ana lift veya toplam performans düşüşüyle birlikte görülürse aksesuar hacmi geçici azaltılır.,Aksesuar ve izolasyonlar için ana kaldırıştan daha konservatif ilerleme.
fixed_load_technique,Sabit yük teknik,"strength,hypertrophy,powerbuilding,general_fitness,home","Yük artırımı otomatik yapılmaz; teknik, pozisyon ve tempo kalitesi korunur.",Form veya tekrar hedefi bozulursa aynı hedef tekrar edilir.,Gerekirse set sayısı geçici azaltılır; egzersiz seçimi değişmez.,"Core, mobilite ve teknik destek hareketlerinde güvenli sabit hedef."
time_based_conditioning,Süre tabanlı kondisyon,"general_fitness,home",Tamamlanan süre hedefin üst bandına geldiğinde süre küçük artırılır; kilogram hedefi kullanılmaz.,Süre tamamlanamazsa aynı süre hedefi tekrar edilir.,Yorgunluk sinyali varsa süre veya interval sayısı geçici azaltılır.,Kondisyon hareketlerinde yük değil süre takibi önceliklidir.
distance_based_conditioning,Mesafe tabanlı kondisyon,"general_fitness,home",Tamamlanan mesafe hedefin üst bandına geldiğinde mesafe küçük artırılır; kilogram hedefi kullanılmaz.,Mesafe tamamlanamazsa aynı hedef tekrar edilir.,Yorgunluk sinyali varsa mesafe veya tur sayısı geçici azaltılır.,Carry ve yürüyüş benzeri hareketlerde mesafe/süre takibi önceliklidir.
